investor_name,score,distance,investments,neighbors
LionTree,0.18683838704160233,1,61,<generator object Runner.run.<locals>.<genexpr> at 0x11dc993f0>
Mubadala,0.13760671915547723,1,33,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99460>
Novartis,0.16169880729446262,1,55,<generator object Runner.run.<locals>.<genexpr> at 0x11dc994d0>
OpenView,0.22014595626249547,1,114,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99540>
OurCrowd,0.16504085745848315,1,269,<generator object Runner.run.<locals>.<genexpr> at 0x11dc995b0>
PNC Bank,0.08608474016514223,2,32,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99620>
PROPARCO,0.07452411181383628,1,29,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99690>
Pac-Link,0.1998156121735431,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99700>
Paradigm,0.22631170628222805,1,58,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99770>
Prudence,0.20848746933023965,1,24,<generator object Runner.run.<locals>.<genexpr> at 0x11dc997e0>
Rabobank,0.09787098443536855,1,44,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99850>
Redpoint,1.0,0,684,<generator object Runner.run.<locals>.<genexpr> at 0x11dc998c0>
Republic,0.11568070523789302,1,32,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99930>
S.R.I.W.,0.038223503618449235,2,100,<generator object Runner.run.<locals>.<genexpr> at 0x11dc999a0>
SV Angel,0.3717466779363516,1,1329,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99a10>
Sapphire,0.31832611602181005,1,306,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99a80>
Seedcamp,0.20026092728629652,1,447,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99af0>
SmartFin,0.17646522770764514,1,31,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99b60>
SoftBank,0.19404817792431972,1,292,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99bd0>
Sowefund,0.02945937805770264,2,42,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99c40>
TempoCap,0.10973863308953623,1,30,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99cb0>
Tom Ryan,0.3861160682951436,1,19,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99d20>
Velocity,0.17400374620936765,1,266,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99d90>
Wefunder,0.21106010399717187,1,52,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99e00>
ZhenFund,0.14469269240089175,1,742,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99e70>
Abac Nest,0.04205628001929987,2,12,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99ee0>
Aescuvest,0.03440447643893796,2,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99f50>
AngelList,0.18618125757839787,1,96,<generator object Runner.run.<locals>.<genexpr> at 0x11dc99fc0>
Ant Group,0.14695373261640018,1,109,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a030>
Ascension,0.08201638766362673,1,265,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a0a0>
Axis Bank,0.22065532395780643,1,13,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a110>
BACKED VC,0.12380770589506948,1,60,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a180>
Balderton,0.2666966122807884,1,355,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a1f0>
Benchmark,1.0,0,635,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a260>
Bigcolors,0.16608789822831982,1,12,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a2d0>
Biz Stone,0.20982723099221212,1,43,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a340>
BlackRock,0.20481155419669073,1,221,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a3b0>
Bpifrance,0.07808033331054111,1,771,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a420>
ByteDance,0.08401343218370691,1,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a490>
CDC Group,0.11359524508026393,1,109,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a500>
CID Group,0.3193147690268566,1,31,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a570>
Crowdcube,0.1374582061381741,1,1372,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a5e0>
DAO Maker,0.03469140769987037,2,14,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a650>
Deerfield,0.16201697692938788,1,194,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a6c0>
Dreamworx,0.10918693504888159,1,17,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a730>
Emergence,0.34019889069051906,1,213,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a7a0>
EquityZen,0.2723095470982246,1,37,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a810>
Eric Yuan,0.2045249911340995,1,20,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a880>
EverHaüs,0.07781061938149157,1,18,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a8f0>
FirstMark,0.3428643579203098,1,314,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a960>
Flybridge,0.3177302717815262,1,372,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9a9d0>
G Squared,0.2223191355679035,1,80,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9aa40>
GS Growth,0.1908820719436468,1,112,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9aab0>
Geovation,0.12217199710745281,1,27,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ab20>
Greenoaks,0.3059835405550229,1,78,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ab90>
Greycroft,0.21476122023023034,1,694,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ac00>
HSBC Bank,0.11480672948277823,1,22,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ac70>
ING Group,0.10141024627034861,1,40,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ace0>
Indiegogo,0.033860485030723766,2,15,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ad50>
Info Edge,0.18087328248451237,1,65,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9adc0>
Innovacom,0.2078723839357526,1,140,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ae30>
JP Morgan,0.19894478021171907,1,88,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9aea0>
June Fund,0.2619164792008813,1,30,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9af10>
K2 Global,0.16648002077768095,1,25,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9af80>
Kevin Lin,0.22931298545746098,1,76,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9aff0>
LSI Logic,0.37338450831672476,1,15,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b060>
Lemniscap,0.13774482005592092,1,46,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b0d0>
Lightrock,0.10300162975211805,1,48,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b140>
MUFG Bank,0.05504854087185011,1,45,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b1b0>
Medtronic,0.16412064068220578,1,73,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b220>
Microsoft,0.2647586612884673,1,159,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b290>
News Corp,0.36273329474005733,1,27,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b300>
Northzone,0.19489126561074124,1,233,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b370>
Nth Power,0.3082891269002142,1,60,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b3e0>
Oak HC/FT,0.23256889758928273,1,115,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b450>
Ozzy Akay,0.08701159516262712,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b4c0>
Pi Campus,0.13739404955196158,1,44,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b530>
Polychain,0.1988230659489918,1,128,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b5a0>
Portfolia,0.1232728538197821,1,83,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b610>
QVentures,0.0788731454280837,1,100,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b680>
Samaipata,0.07447335045181692,1,37,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b6f0>
TIS Japan,0.04461124323705795,1,42,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b760>
Threshold,0.28944203209966085,1,870,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b7d0>
Zeroth.AI,0.08092249535874098,1,47,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b840>
3L Capital,0.17915944687749327,1,35,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b8b0>
5Y Capital,0.08916828122173842,1,252,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b920>
AMTD Group,0.07768706217852812,1,11,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9b990>
AVIC Trust,0.060977639415646136,2,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ba00>
Abingworth,0.1595163248618422,1,164,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9ba70>
Accomplice,0.20214043292792708,1,303,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bae0>
Adam Malik,0.0,0,12,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bb50>
Angels Den,0.03662698471809255,2,91,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bbc0>
Asia Alpha,0.1777344777429607,1,28,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bc30>
Bill Gates,0.37810351529135644,1,68,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bca0>
BioVenture,0.0818333797480192,1,49,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bd10>
Chiba Dojo,0.035918004145249205,2,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bd80>
Citizen VC,0.4711229871700832,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bdf0>
CoinShares,0.09754480681629644,1,19,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9be60>
CyberAgent,0.03612299088284385,2,42,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bed0>
DFJ Growth,0.34740858490707577,1,119,<generator object Runner.run.<locals>.<genexpr> at 0x11dc9bf40>
DN Capital,0.14280460491536906,1,253,<generator object Runner.run.<locals>.<genexpr> at 0x11dc78040>
DST Global,0.2722867209665564,1,210,<generator object Runner.run.<locals>.<genexpr> at 0x11dc780b0>
Exor Seeds,0.195745429055631,1,47,<generator object Runner.run.<locals>.<genexpr> at 0x11dc78120>
FREES FUND,0.13237924073819288,1,140,<generator object Runner.run.<locals>.<genexpr> at 0x11dc78190>
Flashpoint,0.0905362226989256,1,84,<generator object Runner.run.<locals>.<genexpr> at 0x11dc78200>
Fondaction,0.07124609156078218,1,117,<generator object Runner.run.<locals>.<genexpr> at 0x11dc78270>
